"","Class","accus"
"1","Class1",0.971073044602456
"2","Class2",0.843244990303814
"3","Class3",0.877989657401422
"4","Class4",0.961376858435682
"5","Class5",0.995959922430511
"6","Class6",0.96606334841629
"7","Class7",0.964124111182935
"8","Class8",0.965336134453782
"9","Class9",0.967679379444085
